AvgTone,MentionDocTone,GKG_Tone,Source
-0.5882353186607361,-1.1695905923843384,-1.19047619047619,Local_Source
0.85714285714285,0.85714285714285,1.14942528735632,Local_Source
-2.40384615384616,-2.40384615384616,-1.91387559808612,Local_Source
-0.5586592178770949,0.0,0.0,Local_Source
2.83018867924528,2.83018867924528,2.65486725663717,Local_Source
-1.58450704225352,-1.58450704225352,-1.20898100172712,Western_Source
2.9213483146067403,2.9213483146067403,2.90178571428571,Local_Source
1.32890365448505,1.32890365448505,0.993377483443708,Local_Source
0.37037037037037,0.33057851239669,0.48780487804878,Western_Source
-0.8146639511201601,-0.8146639511201601,-0.816326530612245,Local_Source
0.52910052910053,0.52910052910053,0.52219321148825,Local_Source
-1.6513761281967163,-1.6513761281967163,-1.84162062615101,Local_Source
-4.04984423676013,-3.92749244712991,-3.79362670713202,Western_Source
